disasterNumber,totalNumberIaApproved,totalAmountIhpApproved,totalAmountHaApproved,totalAmountOnaApproved,totalObligatedAmountPa,totalObligatedAmountCatAb,totalObligatedAmountCatC2g,paLoadDate,iaLoadDate,totalObligatedAmountHmgp,hash,lastRefresh,id
3601,,,,,,,,,,,3de68baba960e69da445cf822d3dd859081fb34a,2023-10-09T23:02:26.341Z,faafecca-0f76-4fb8-8ffd-b6f46f3b712c
3602,,,,,,,,,,,58566c446fce5cabbd0c3412a6bb3daa4ada1993,2023-10-09T23:02:26.341Z,b74f0dc2-fab5-42b9-acf7-c94df14d85ad
1240,,,,,25888496.72,16028598.82,9859897.9,2025-03-05T00:00:00.000Z,,3479614,519eb977b226af26b3d2c039e398307a345d3815,2025-03-05T05:23:00.396Z,f0716c8d-d954-4854-8432-b95f7c4e2ec6
1239,,,,,8225378.98,4219882.47,3961713.95,2025-03-05T00:00:00.000Z,,3887494,f522624427ba607bb17e5429a953900b2643c6d0,2025-03-05T04:05:34.765Z,f55a233f-89a9-42bc-b55c-a822a694e2ee
1257,,,,,33279674.22,9756691.41,23183628.92,2025-03-05T00:00:00.000Z,,18906913,07e2acbe1b61fde05b3b9035b082701036ae3ae4,2025-03-05T04:05:34.765Z,ade76cb5-a023-4c24-be6f-fa66b9f3329f
1260,,,,,9863594,3896685.75,5833055.72,2025-03-05T00:00:00.000Z,,1875688,18e56522432e2786a370c51013a9cf9e7c82e552,2025-03-05T04:05:34.765Z,8c4a928f-248d-4ee1-82b8-e7e1bd961bd2
1261,,,,,5735788.21,2349946.79,3385841.42,2025-03-05T00:00:00.000Z,,1096729,84dec116d182843e5e9553aaef415143cd571224,2025-03-05T04:05:34.765Z,cda17187-3db7-49fd-85c5-f86073e0f05f
1262,,,,,15377362.84,4437805.23,10793815.08,2025-03-05T00:00:00.000Z,,1494499,4fee2ca7faa5e0e1ddd7065a9ebdf1fbcd1249fd,2025-03-05T04:05:34.765Z,bf77cc31-dc06-4566-aa96-b8ca6490b43f
1264,,,,,3033110.28,882780.99,2135164.26,2025-03-05T00:00:00.000Z,,915473,1d088a74ffcca82b3aa27864b73f91b2040ab3bb,2025-03-05T04:05:34.765Z,fe38b724-a53e-4fd7-9f16-3442348521fd
1265,,,,,6970269.48,2590192.47,4349918.09,2025-03-05T00:00:00.000Z,,1319820,297557e818bcf6da4f09810acf3e39e92ecacda1,2025-03-05T04:05:34.765Z,1d7ff464-78aa-4060-a310-4c230878127f
1266,,,,,7265330.4,4572203.46,2603875.52,2025-03-05T00:00:00.000Z,,3634575,58ca213a8fb842b8850353fe006a91ae1346403e,2025-03-05T04:05:34.765Z,732893f5-9998-464c-bfaa-ef0d15b0a4b9
1268,,,,,721979.29,43929.52,655398.71,2025-03-05T00:00:00.000Z,,120352,1ad9a40b220837acc81f0bbff5601a109838fa7a,2025-03-05T04:05:34.765Z,16ee930b-1419-421c-9d40-29ba321ab982
1269,,,,,1737569.4,898066.5,810242.78,2025-03-05T00:00:00.000Z,,1037030,4f44427c8eb3f54c9ad13b8c12cac1b425c8a5f4,2025-03-05T04:05:34.765Z,6efd5195-bf2f-46c0-8ff8-ac22dc8b85d2
1271,,,,,1868757.98,1691960.54,176797.44,2025-03-05T00:00:00.000Z,,495343,9a43ee8c6af777fc4c36f6193ee87b71b36a4385,2025-03-05T04:05:34.765Z,b719fd88-1446-4834-b8d3-9620ed467089
1272,,,,,40588743.22,29892462.64,10342694.45,2025-03-05T00:00:00.000Z,,12665798,efc1b24e3654870443df45c7d0cdc3ddb262a3ca,2025-03-05T04:05:34.765Z,7cbcadbe-e838-4bf6-9e0c-fa79ba88edab
1273,,,,,3144097.57,2597610.34,546487.23,2025-03-05T00:00:00.000Z,,1764725,ccc46b7433dee89dafa42701158ed036321a18e9,2025-03-05T04:05:34.765Z,9ae634f5-fea6-4f90-9e76-e697c431befd
1274,,,,,1525086.7,1060865.15,587622.94,2025-03-05T00:00:00.000Z,,778869,4215232f04946e561f52800e143b91aaf95be237,2025-03-05T04:05:34.765Z,e34d27a8-1600-4126-ae13-ca3a7d597a89
1275,,,,,5322523.58,2426827.39,2821849.55,2025-03-05T00:00:00.000Z,,853245,e5c34ba64ddd60371874a3c4c4b3a61ba80796a1,2025-03-05T04:05:34.765Z,f0f15072-4a39-4dc0-a6be-818861f7f2f8
1276,,,,,5242416.68,546984.2,4587872.59,2025-03-05T00:00:00.000Z,,1158596,a7d15804989e9aeb4c99a3c1c29bd4f1606a8ee8,2025-03-05T04:05:34.765Z,61504cdb-4194-4d07-b623-06d7b0758182
1277,,,,,8534710.43,1862546.18,6422742.96,2025-03-05T00:00:00.000Z,,2449736,c66a9039285703464aabf10cafdf4727f35b45b2,2025-03-05T04:05:34.765Z,81916278-cd7f-408b-9dd8-bd2be858c42d
1278,,,,,501235.42,20563.57,469397.28,2025-03-05T00:00:00.000Z,,113954,81db083f5e7cb35060a54298cf82d540275a04e6,2025-03-05T04:05:34.765Z,7672f291-4470-481b-b77e-974e81309eb5
1279,,,,,48334834.63,3905669.96,43752362,2025-03-05T00:00:00.000Z,,11742244,26969d792971632cc5db2379f211b7977a5d9fc8,2025-03-05T04:05:34.765Z,543bde57-66ef-4ece-8e40-1931e2eb1250
1280,,,,,801099.77,621063.41,162372.31,2025-03-05T00:00:00.000Z,,1152684,3f7f1adfc4b174f23bce35d66537335bdb97db3a,2025-03-05T04:05:34.765Z,ace59d11-5068-4466-8cd9-a4d5d3c8d798
1281,,,,,4736115,429615.84,4190877.14,2025-03-05T00:00:00.000Z,,704930,4758f7dd4b4ed7442469feb338ce65c6766cabfb,2025-03-05T04:05:34.765Z,48dc39ab-ecf0-40b1-8be9-2192c2f7fa8a
1282,,,,,10955690.74,1814403.47,8883933.06,2025-03-05T00:00:00.000Z,,2636499,02fd2f97a18253554d42e194f72707724fddc925,2025-03-05T04:05:34.765Z,8c3f20c9-9d57-49fc-9743-afc9d2c7c6a6
1283,,,,,11679939.6,3332720.86,8260184.09,2025-03-05T00:00:00.000Z,,2769144,347495572c7a0548b8378d758559d70416599dfb,2025-03-05T04:05:34.765Z,828a244b-612a-488f-985e-c89f5b002484
1284,,,,,4064691.72,950005.26,3086906.66,2025-03-05T00:00:00.000Z,,641581,f37b0d4312ce97790cae1cf3300b16d33ca93e0f,2025-03-05T04:05:34.765Z,11937bae-cb67-468d-84f0-53291e41e7af
1285,,,,,518798.92,331705.11,182722.6,2025-03-05T00:00:00.000Z,,86350,a5ba72ab4f3d069702444dcc9e031f6217488d67,2025-03-05T04:05:34.765Z,e5982b20-f113-4a31-b1d4-d0063b20440d
1267,,,,,,,,,,2167204,1ba476aa5b95b344e79f9ed5c0b1442849ccb5e0,2023-03-18T13:22:12.883Z,0f5ed8dd-d8e5-4328-9155-372206b47182
1286,,,,,2083481.55,147935.45,1935546.1,2025-03-05T00:00:00.000Z,,621569,be44ebf3ca59ae8410e8e9cde8f37dc84e5a72ff,2025-03-05T04:05:34.765Z,f4a1323f-ed5c-44b2-ae0a-4f718654fcf2
1287,,,,,3704291.45,2689766.86,906909.42,2025-03-05T00:00:00.000Z,,3182052,de5c892a37836aad61e69fd8e99d5818a2881cfb,2025-03-05T04:05:34.765Z,6f635b4b-3e35-4d64-b266-6d0187bff1b7
1270,,,,,,,,,,319783,bb3c5cb8faf9c3e5606bd3f86ff09da517907068,2023-03-18T13:22:12.883Z,df214994-59d2-4075-b52c-894f7f4b358e
1288,,,,,7734889.99,727111.27,6928401.83,2025-03-05T00:00:00.000Z,,1359545,0d59ddc7c9d4a16edeb78a0eadf99b8f339c809d,2025-03-05T04:05:34.765Z,a91647c7-becd-4941-be42-2204ee08c225
1289,,,,,785818.09,84066.71,685083.81,2025-03-05T00:00:00.000Z,,305977,f33c3da7137f342a7b510b35772816b498a95b61,2025-03-05T04:05:34.765Z,3d4ffa4c-db89-420c-a458-e94d32735c9f
1292,,,,,298105794.06,143602692.89,150485207.39,2025-03-05T00:00:00.000Z,,67665966,5966e14b55b5788d22033aa740cd371ca74c57c7,2025-03-05T04:05:34.765Z,433dd9a2-ae26-440f-a1fe-6bf559b7d34f
1293,,,,,19890308.77,8206956.08,11605641.68,2025-03-05T00:00:00.000Z,,4034816,4a0ba30711b408717795b0bfb1bc93eebf0b58ae,2025-03-05T04:05:34.765Z,b7cc5a63-50ab-46f6-a38f-4a7574f48ff6
1294,,,,,10347269.34,4079425.04,5840828.95,2025-03-05T00:00:00.000Z,,4277685,fc58a84e7c3ecd0d416694cfb459d20012c70a30,2025-03-05T04:05:34.765Z,945167f2-2a2f-4e1b-8aea-a6bebe562597
1295,,,,,38703382.74,17818465.28,20285139.28,2025-03-05T00:00:00.000Z,,9436261,5ce6d60095d04f316bbfb92faec302fa163400a4,2025-03-05T04:05:34.765Z,b00a7eed-0c71-409a-98e8-aa4ca25cb4c7
1296,,,,,41182922.07,10759369.68,29436671.56,2025-03-05T00:00:00.000Z,,4413443,549ab9d9bfd221418ac0cde770dba5b41fd35bac,2025-03-05T04:05:34.765Z,067ac399-6664-4349-94fb-9fc4f94c853b
1297,,,,,3374929.57,413506.66,2970485.64,2025-03-05T00:00:00.000Z,,831368,7c924951b365f700ef6223fa70688b57550b5add,2025-03-05T04:05:34.765Z,7d99a24e-c166-4b02-9072-876c1a26e140
1299,,,,,20544924.45,13046343.17,7178637.83,2025-03-05T00:00:00.000Z,,6074584,59fc572c600b1d347ecf5bede26dbf0ba5af5839,2025-03-05T04:05:34.765Z,1484d143-b953-4297-b35f-c5d3f23be007
1300,,,,,34309695.49,16704381.41,17070710.07,2025-03-05T00:00:00.000Z,,3599288,211fe49d39524f59f7c71a809586e627ffa437a4,2025-03-05T04:05:34.765Z,c620f36b-81ff-4de0-9223-3dd2a616846f
1301,,,,,1968329.67,18254.17,1953360.86,2025-03-05T00:00:00.000Z,,7803,4b577f2bc7712294f9a5a5cbeba05eef8dde7894,2025-03-05T04:05:34.765Z,031d761f-c3c2-4321-8a53-e6d723c47a6f
1302,,,,,1875868.51,590763.4,1224126.36,2025-03-05T00:00:00.000Z,,107462,84efdeb986edeebdaec17ecaea9eac4daa82a9da,2025-03-05T04:05:34.765Z,92f0e5fc-3d3d-4d33-863d-c233be8adef0
1303,,,,,5462529.93,1195275.68,4267254.25,2025-03-05T00:00:00.000Z,,1061424,6ceda2094ae515935f5442b45b31e7d8ee8c5ed4,2025-03-05T04:05:34.765Z,25ce9a26-7077-4383-9291-c0717fc6e525
1305,,,,,594693.82,73108.21,521585.61,2025-03-05T00:00:00.000Z,,11345,aeb9e0c8c91ca88bb556658a81c8329ea135e0c6,2025-03-05T04:05:34.765Z,0829a7c2-3892-4cac-af9e-d23d6173ec97
1306,,,,,106261560.28,32644798.12,72246572.61,2025-03-05T00:00:00.000Z,,21423043,2f716583c33472adc95be803f9a1e6cbe50246b8,2025-03-05T04:05:34.765Z,53f9b749-cfd1-4612-97e5-b21fe819e80f
1307,,,,,1010652.61,397663.92,612988.69,2025-03-05T00:00:00.000Z,,111961,e8c6ba4cac1ce5a9fd983cfef85b2fcc5c43400c,2025-03-05T04:05:34.765Z,8db61ba7-396d-4b28-b696-665e88c25105
1308,,,,,920741.26,21376.49,880889.25,2025-03-05T00:00:00.000Z,,136145,ecc59d44eccf01c1b25eb03f5d1619af0f11b09d,2025-03-05T04:05:34.765Z,d4ea2348-2032-4ce0-b55b-14b6af044a7c
1309,,,,,4844695.58,1257343.05,1891051.87,2025-03-05T00:00:00.000Z,,1847365,73fff406261ee42ef5a8e1e2395ce23d3fca3e2b,2025-03-05T04:05:34.765Z,c4cd5fe3-fd61-460a-9b45-989dc90547a8
1310,,,,,4680340.29,1386231.25,3245139.39,2025-03-05T00:00:00.000Z,,250405,d2e0e3153ab35227cd8249986d97b7c7577a24b2,2025-03-05T04:05:34.765Z,8dbd4f0d-cef7-4220-bfcd-1d7e6d228d15
1290,,,,,,,,,,200782,fbe5b8caa213cd388e1d7773b121c3c74559a5fb,2023-03-18T13:22:12.883Z,ffca81a5-0830-4f1c-b088-0ff4d5bb8e8a
1311,,,,,36909135.59,26066940.79,10849669.36,2025-03-05T00:00:00.000Z,,5289650,370fbe87629c07eb4d9ca0176506e563047e65b7,2025-03-05T04:05:34.765Z,bcbce3ac-86ac-40fd-b3f5-dad32e41c6f6
1291,,,,,,,,,,381636,8f0f0908874eb215f6e3d73799c8e8d2d29da7b3,2023-03-18T13:22:12.883Z,38aea223-c601-4817-a74e-de666d29392a
1312,,,,,27368107.85,20690288.33,6631775.1,2025-03-05T00:00:00.000Z,,3453353,30bb29dd175c0e2f96c08fe0c2968574e73865b0,2025-03-05T04:05:34.765Z,40e8e134-eac0-46f1-8e21-52dba03a9373
5502,,,,,,,,,,0,4c97880436e4f4e41f270f6ba1526ddcccfb1997,2024-07-08T15:17:10.208Z,b0881306-1b2d-41a5-8636-fad7e4c28296
5470,,,,,,,,,,0,632c31ecf93420da7e44985de106552e90994371,2023-07-25T23:02:30.960Z,7c3f1b5f-90fc-45ae-b2a0-c10969b52fe1
1313,,,,,8726361.63,3164581.04,5580429.08,2025-03-05T00:00:00.000Z,,1311471,2796ff359baec13465071cffe08aa3d875a0af1b,2025-03-05T04:05:34.765Z,76baea09-05d8-408f-a08b-597f3ae9f76b
1314,,,,,2605294.29,1170005.58,1430613.75,2025-03-05T00:00:00.000Z,,405517,a7cf0bfc4c668e8e7fc0cf5aaecdaa242327d06d,2025-03-05T04:05:34.765Z,a54e73de-0d6e-4418-adc3-82c4606e6387
1315,,,,,2043473.79,1256195.35,847752.31,2025-03-05T00:00:00.000Z,,662973,bbfb265fb9f3548d4628e257ec5f6acde86a09c1,2025-03-05T04:05:34.765Z,72f3a641-ad85-48c2-a38d-fe1048bf7cb6
1298,,,,,,,,,,195648,becd78b29db0e564a86dcc166b1b06bfed63acc0,2023-03-18T13:22:12.883Z,59620891-042b-4587-9129-74bd8a151fd1
1316,,,,,10798817.35,6382892.52,4291133.67,2025-03-05T00:00:00.000Z,,1583458,88ed132fa4fb59ceb9f7e81279cc4a0b3f1794f7,2025-03-05T04:05:34.765Z,e431936d-e2d6-4a45-9bf7-6233b77912e3
1317,,,,,3394920.15,1502165.83,1892754.32,2025-03-05T00:00:00.000Z,,438084,c5ea0e2f1eac94273e14c7cd91bdc12e581a87f8,2025-03-05T04:05:34.765Z,7b0e0e14-99fa-4a3a-b846-9d73d6664728
5503,,,,,,,,,,0,0ea0285186b507f1f433b28e09dc08ca5ee1b30d,2024-07-08T15:17:10.208Z,5df6225c-5d31-47c3-827b-d742707c2f94
1318,,,,,13588960.08,13193223.02,451699.92,2025-03-05T00:00:00.000Z,,1454376,2917a41a382c57c566c48473a0c0a56cef4bdd09,2025-03-05T04:05:34.765Z,ef9d2dd3-0740-43ad-8bc2-b948770d9e24
1319,,,,,5134082.94,329668.71,4780114.36,2025-03-05T00:00:00.000Z,,1289906,52706a196fd187d02f4a9c6ae013e99c5d7b4f85,2025-03-05T04:05:34.765Z,c0c10a10-0a30-46b8-9baf-653cf80d7965
1304,,,,,,,,,,10446,eca700838aea4566bc4c5c046cb6fa2aa4f9c5be,2023-03-18T13:22:12.883Z,d0f1709b-70b0-4742-a8db-087a0cf406cb
1320,,,,,2820111.53,245508.68,2514961.75,2025-03-05T00:00:00.000Z,,420140,87b3652af4c67f54f92d5c2c0e4c5799f3672475,2025-03-05T04:05:34.765Z,18dc70fc-ee13-45b4-a977-dbe7a1053032
4761,,,,,,,,,,0,532cd0bc96d7824544c2ae801fc07c1916ab86bc,2024-02-28T00:02:27.009Z,b57a0a47-0a65-45f0-b1d9-04dd909b31ff
1323,,,,,3773011.29,2434987.46,1282012.04,2025-03-05T00:00:00.000Z,,556864,4a3ef8d88dc3c5eaf7a28d9968caab2d99ed1b56,2025-03-05T04:05:34.765Z,2e1d4682-e359-4c18-ab16-07764e293478
