facility_id,facility_coid,facility_name,timezone,tz_utc_offset,tz_description,emr_mnem,emr_name,facility_status,facility_address1,facility_city,facility_state,facility_zip,Latitude,Longitude,company_name,division_mnem,division_name,network_meditech_network
18000016,34654,LewisGale Alleghany,est,-05:00,Eastern Time Zone,MT56,Meditech 5.6,1,1 Alleghany Regional Hospital Lane,Low Moor,VA,24457,37.79398,-79.86887,HCA,H-CAP,Capital,VAB
18000023,25314,Appomattox Imaging Center,est,-05:00,Eastern Time Zone,MT56,Meditech 5.6,1,"930 S. Ave
Suite 101",Colonial Heights,VA,23834,37.242352,-77.390181,HCA,H-CAP,Capital,VAA
18000070,25446,Brambleton Imaging Center,est,-05:00,Eastern Time Zone,MT56,Meditech 5.6,1,4330 Brambleton Avenue,Roanoke,VA,24018,37.226736,-80.010026,HCA,H-CAP,Capital,VAB
18000083,09798,Buford Road Imaging,est,-05:00,Eastern Time Zone,MT56,Meditech 5.6,1,2612 Burford Road,Richmond,VA,23235,37.52487,-77.557765,HCA,H-CAP,Capital,VAA
18000118,03449,Chesterfield Imaging,est,-05:00,Eastern Time Zone,MT56,Meditech 5.6,1,13636 Hull Street Road,Midlothian,VA,23112,37.410466,-77.655548,HCA,H-CAP,Capital,VAA
18000125,34632,Chippenham-Johnston Willis Medical Center,est,-05:00,Eastern Time Zone,MT56,Meditech 5.6,1,1401 Johnston-Willis Drive,Richmond,VA,23235,37.510396,-77.595343,HCA,H-CAP,Capital,VAA
18000243,25061,Capital Division Hub Sites,est,-05:00,Eastern Time Zone,Unknown,Need to Identify,1,110 N. Robinson Steet. Suite 201,Richmond,VA,23220,37.553282,-77.472745,HCA,H-CAP,Capital,*None
18000348,08409,Dominion Hospital,est,-05:00,Eastern Time Zone,MT56,Meditech 5.6,1,2960 Sleepy Hollow Road,Falls Church,VA,22044,38.870178,-77.158591,HCA,H-CAP,Capital,VAC
18000501,34634,Henrico Doctors Hospital,est,-05:00,Eastern Time Zone,MT56,Meditech 5.6,1,1602 Skipwith Rd,Richmond,VA,23229,37.604508,-77.539137,HCA,H-CAP,Capital,VAA
18000572,23001,Independence Park Imagaing Center,est,-05:00,Eastern Time Zone,MT56,Meditech 5.6,1,"9930 Independence Park Drive, Suite 100",Richmond,VA,23233,37.636714,-77.570807,HCA,H-CAP,Capital,VAA
18000593,34627,TriCities Hospital,est,-05:00,Eastern Time Zone,MT56,Meditech 5.6,1,411 W Randolph Rd,Hopewell,VA,23860,37.308644,-77.291945,HCA,H-CAP,Capital,VAA
18000641,34630,LewisGale Medical Center - Salem,est,-05:00,Eastern Time Zone,MT56,Meditech 5.6,1,1900 Electric Rd,Salem,VA,24153,37.263169,-80.031284,HCA,H-CAP,Capital,VAB
